Country,Date,GDP_Growth_Rate_Percent,Inflation_Rate_Percent,Unemployment_Rate_Percent,Market_Cap_Trillion_USD,Export_Growth_Percent,Import_Growth_Percent,Credit_Rating,Trade_Balance
United States,2024-08-15,2.8,2.9,3.7,51.2,3.2,2.8,AAA,0.40000000000000036
China,2024-08-15,5.2,0.8,5.2,12.4,8.9,6.1,A+,2.8000000000000007
Japan,2024-08-15,0.9,2.8,2.4,6.8,5.1,4.7,A+,0.39999999999999947
Germany,2024-08-15,0.3,2.2,3.1,2.9,2.1,1.8,AAA,0.30000000000000004
United Kingdom,2024-08-15,1.1,2.0,4.2,3.1,0.9,1.2,AA,-0.29999999999999993
France,2024-08-15,1.3,2.3,7.4,3.0,1.8,2.1,AA,-0.30000000000000004
India,2024-08-15,6.8,4.9,3.2,4.3,13.2,10.9,BBB-,2.299999999999999
Canada,2024-08-15,2.9,2.8,6.1,2.8,4.1,3.8,AAA,0.2999999999999998
Brazil,2024-08-15,2.1,4.5,7.8,1.4,8.7,6.9,BB-,1.799999999999999
Australia,2024-08-15,1.7,3.8,4.1,1.8,6.2,5.4,AAA,0.7999999999999998
South Korea,2024-08-15,3.1,2.4,2.9,1.9,9.1,7.8,AA,1.2999999999999998
Russia,2024-08-15,-1.9,7.4,3.4,0.6,15.2,18.7,BB+,-3.5
Mexico,2024-08-15,2.4,4.7,2.8,0.7,7.9,8.2,BBB,-0.29999999999999893
Italy,2024-08-15,0.7,1.0,7.6,0.9,3.2,2.9,BBB,0.30000000000000027
Spain,2024-08-15,2.5,3.2,11.5,0.8,4.1,3.7,A,0.39999999999999947
Netherlands,2024-08-15,0.6,1.1,3.6,1.1,2.8,2.4,AAA,0.3999999999999999
Switzerland,2024-08-15,1.2,1.4,2.4,1.8,1.9,2.1,AAA,-0.20000000000000018
Sweden,2024-08-15,0.8,1.9,7.8,0.7,3.4,2.9,AAA,0.5
Norway,2024-08-15,2.1,3.1,3.4,0.4,8.9,6.7,AAA,2.2
Denmark,2024-08-15,1.8,1.7,5.1,0.4,2.1,1.8,AAA,0.30000000000000004
Singapore,2024-08-15,2.6,2.4,2.1,0.8,12.4,11.7,AAA,0.7000000000000011
Hong Kong,2024-08-15,3.2,1.8,2.8,4.2,6.7,5.9,AA+,0.7999999999999998
Taiwan,2024-08-15,3.8,2.1,3.7,2.1,15.2,13.8,AA,1.3999999999999986
Indonesia,2024-08-15,5.1,2.8,5.4,0.7,8.9,7.3,BBB,1.6000000000000005
Thailand,2024-08-15,2.9,0.4,1.2,0.6,4.1,3.8,BBB+,0.2999999999999998
Malaysia,2024-08-15,4.2,2.0,3.4,0.5,6.7,5.9,A-,0.7999999999999998
Philippines,2024-08-15,5.8,3.7,5.9,0.3,8.1,7.4,BBB+,0.6999999999999993
Vietnam,2024-08-15,6.4,4.1,12.3,0.3,12.8,14.2,BB+,-1.3999999999999986
Turkey,2024-08-15,3.1,64.8,10.5,0.3,3.4,8.9,B+,-5.5
South Africa,2024-08-15,0.9,4.7,28.7,0.4,2.1,1.8,BB-,0.30000000000000004
Egypt,2024-08-15,2.8,33.1,7.2,0.03,12.3,23.4,B+,-11.099999999999998
Nigeria,2024-08-15,3.2,21.8,5.1,0.04,23.4,34.5,B-,-11.100000000000001
Chile,2024-08-15,2.4,4.1,8.8,0.2,6.7,5.2,A,1.5
Argentina,2024-08-15,-1.6,211.4,6.2,0.05,-12.3,15.6,CCC+,-27.9
Colombia,2024-08-15,1.2,7.2,10.2,0.1,8.9,7.1,BB+,1.8000000000000007
Peru,2024-08-15,2.8,2.8,6.4,0.08,9.8,8.2,BBB+,1.6000000000000014
UAE,2024-08-15,3.9,1.9,2.8,0.7,23.4,18.9,AA,4.5
Saudi Arabia,2024-08-15,1.1,-0.4,5.8,2.8,12.3,8.9,A-,3.4000000000000004
Israel,2024-08-15,2.0,2.3,3.4,0.4,5.6,4.2,A+,1.3999999999999995
